epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.23425,0.92827,0.04906,0.97626,0.0009990
2,0.04870,0.98509,0.03469,0.98743,0.0009961
3,0.02331,0.99183,0.05706,0.99022,0.0009912
4,0.02509,0.99254,0.02718,0.99162,0.0009843
5,0.01659,0.99290,0.02003,0.99162,0.0009756
6,0.02236,0.99148,0.01929,0.99162,0.0009649
7,0.03159,0.98935,0.01981,0.99022,0.0009525
8,0.03624,0.98970,0.03789,0.99022,0.0009382
9,0.03966,0.98686,0.01113,0.99302,0.0009222
10,0.03037,0.99325,0.01865,0.99441,0.0009046
11,0.01044,0.99645,0.03327,0.98743,0.0008854
12,0.00533,0.99858,0.02859,0.99302,0.0008646
13,0.00543,0.99716,0.01934,0.99302,0.0008424
14,0.00417,0.99822,0.02314,0.99302,0.0008189
15,0.00736,0.99751,0.02454,0.99162,0.0007941
16,0.00818,0.99645,0.03985,0.99302,0.0007681
17,0.00852,0.99716,0.02355,0.99581,0.0007411
18,0.00276,0.99929,0.02113,0.99581,0.0007132
19,0.00210,0.99929,0.02789,0.98883,0.0006844
20,0.00569,0.99716,0.03475,0.99302,0.0006549
21,0.00162,0.99929,0.02402,0.99441,0.0006247
22,0.00350,0.99893,0.05010,0.98883,0.0005941
23,0.00250,0.99893,0.01754,0.99581,0.0005631
24,0.00069,0.99964,0.02185,0.99581,0.0005319
25,0.00158,0.99893,0.02701,0.99302,0.0005005
26,0.00068,1.00000,0.01723,0.99302,0.0004691
27,0.00024,1.00000,0.01906,0.99302,0.0004379
